file	artist	title	date_added	year	genre	guitar	rig	notion_id
Bob Seger - Night Moves.gp	Bob Seger	Night Moves	04-09-2026	-	-	-	-	-
Bob Seger - Old Time Rock And Roll (Live).gp	Bob Seger	Old Time Rock And Roll (Live)	10-16-2009	-	-	-	-	-
Bon Iver - Skinny Love.gp	Bon Iver	Skinny Love	01-22-2026	-	-	-	-	-
Bon Jovi - Bad Medicine.gp	Bon Jovi	Bad Medicine	06-07-2025	-	-	-	-	-
Bon Jovi - It's My Life.gp	Bon Jovi	It's My Life	02-15-2026	-	-	-	-	-
Bon Jovi - Livin' On A Prayer.gp	Bon Jovi	Livin' On A Prayer	10-27-2025	-	-	-	-	-
Bon Jovi - You Give Love a Bad Name!.gp	Bon Jovi	You Give Love a Bad Name!	02-17-2026	-	-	-	-	-
Bon Jovi-Wanted Dead Or Alive - Rock Band Version.gp	Bon Jovi-Wanted Dead Or Alive	Rock Band Version	12-21-2011	-	-	-	-	-
Boney M. - Rasputin.gp	Boney M.	Rasputin	03-16-2026	-	-	-	-	-
Bonnie Raitt - Something To Talk About AI.gp	Bonnie Raitt	Something To Talk About AI	04-12-2026	-	-	-	-	-
Bonnie Tyler - Total Eclipse Of The Heart.gp	Bonnie Tyler	Total Eclipse Of The Heart	03-19-2026	-	-	-	-	-
Booker T And The Mgs - Time Is Tight.gp	Booker T And The Mgs	Time Is Tight	10-09-2009	-	-	-	-	-
Booker T. & The Mg's - Green Onions Remaster.gp	Booker T. & The Mg's	Green Onions Remaster	04-14-2026	-	-	-	-	-
Boston - Don't Look Back.gp	Boston	Don't Look Back	03-24-2026	-	-	-	-	-
Boston - Foreplay_Long Time.gp	Boston	Foreplay_Long Time	01-29-2026	-	-	-	-	-
Boston - Long Time.gp	Boston	Long Time	04-15-2025	-	-	-	-	-
Boston - More Than A Feeling.gp	Boston	More Than A Feeling	03-31-2026	-	-	-	-	-
Boston - Peace Of Mind.gp	Boston	Peace Of Mind	03-13-2026	-	-	-	-	-
Boston - Smokin'.gp	Boston	Smokin'	05-03-2026	-	-	-	-	-
Bright Eyes - First Day Of My Life.gp	Bright Eyes	First Day Of My Life	04-16-2018	-	-	-	-	-
Bruce Springsteen - Badlands.gp	Bruce Springsteen	Badlands	04-27-2025	-	-	-	-	-
Bruce Springsteen - Born In The U.S.A..gp	Bruce Springsteen	Born In The U.S.A.	07-06-2025	-	-	-	-	-
Bruce Springsteen - Born To Run.gp	Bruce Springsteen	Born To Run	02-04-2026	-	-	-	-	-
Bruce Springsteen - Dancing In The Dark.gp	Bruce Springsteen	Dancing In The Dark	12-11-2025	-	-	-	-	-
Bruce Springsteen - Glory Days.gp	Bruce Springsteen	Glory Days	08-31-2025	-	-	-	-	-
Bruce Springsteen - Hungry Heart.gp	Bruce Springsteen	Hungry Heart	11-21-2024	-	-	-	-	-
Bruce Springsteen - The River.gp	Bruce Springsteen	The River	11-07-2025	-	-	-	-	-
Bruce Springsteen - Thunder Road.gp	Bruce Springsteen	Thunder Road	04-21-2026	-	-	-	-	-
Bryan Adams - (Everything I Do) I Do It For You.gp	Bryan Adams	(Everything I Do) I Do It For You	06-11-2025	-	-	-	-	-
Bryan Adams - Cuts Like A Knife.gp	Bryan Adams	Cuts Like A Knife	06-24-2024	-	-	-	-	-
Bryan Adams - Heaven (Classic Version).gp	Bryan Adams	Heaven (Classic Version)	01-20-2026	-	-	-	-	-
Bryan Adams - Run To You (Classic Version).gp	Bryan Adams	Run To You (Classic Version)	12-02-2025	-	-	-	-	-
Bryan Adams - Summer Of '69.gp	Bryan Adams	Summer Of '69	04-08-2026	-	-	-	-	-
Buddy Guy - Damn Right, I've Got The Blues.gp	Buddy Guy	Damn Right, I've Got The Blues	03-06-2025	-	-	-	-	-
Buddy Holly - Peggy Sue Got Married.gp	Buddy Holly	Peggy Sue Got Married	05-17-2012	-	-	-	-	-
Buddy Holly - That'll Be The Day.gp	Buddy Holly	That'll Be The Day	11-26-2025	1957	Rock	Fender Strat Player II (SSS)	AMP US Dream/Clean	0fa03c45-5f24-4260-9550-2a0eb8fb05fe
Buffalo Springfield - For What It's Worth.gp	Buffalo Springfield	For What It's Worth	01-09-2026	-	-	-	-	-
Bush - Glycerine.gp	Bush	Glycerine	02-19-2026	-	-	-	-	-
Bush - Machinehead.gp	Bush	Machinehead	05-04-2026	-	-	-	-	-
Bush - Testosterone.gp	Bush	Testosterone	02-09-2025	-	-	-	-	-
Cage The Elephant - Ain't No Rest For The Wicked.gp	Cage The Elephant	Ain't No Rest For The Wicked	06-05-2025	-	-	-	-	-
Cage The Elephant - Shake Me Down.gp	Cage The Elephant	Shake Me Down	07-06-2023	-	-	-	-	-
Cake - Short Skirt_Long Jacket.gp	Cake	Short Skirt_Long Jacket	01-29-2025	-	-	-	-	-
Cake - The Distance.gp	Cake	The Distance	04-10-2025	-	-	-	-	-
Cali - Elle M'a Dit.gp	Cali	Elle M'a Dit	11-28-2008	-	-	-	-	-
Calogero - En Apesanteur.gp	Calogero	En Apesanteur	12-06-2025	-	-	-	-	-
Calogero - Si Seulement Je Pouvais Lui Manquer.gp	Calogero	Si Seulement Je Pouvais Lui Manquer	11-07-2023	-	-	-	-	-
Calogero - Yalla.gp	Calogero	Yalla	12-13-2008	-	-	-	-	-
Canned Heat - Going Up The Country.gp	Canned Heat	Going Up The Country	11-10-2025	-	-	-	-	-
Carl Perkins - Blue Suede Shoes.gp	Carl Perkins	Blue Suede Shoes	05-28-2024	-	-	-	-	-
Carlos Santana - Black Magic Woman.gp	Carlos Santana	Black Magic Woman	12-05-2025	-	-	-	-	-
Carlos Santana - Europa.gp	Carlos Santana	Europa	04-27-2026	-	-	-	-	-
Carlos Santana - Evil Ways.gp	Carlos Santana	Evil Ways	10-22-2025	-	-	-	-	-
Carlos Santana - Maria Maria.gp	Carlos Santana	Maria Maria	01-11-2026	-	-	-	-	-
Carlos Santana - Oye Como Va.gp	Carlos Santana	Oye Como Va	04-28-2026	-	-	-	-	-
Carlos Santana - Samba Pa Ti.gp	Carlos Santana	Samba Pa Ti	01-13-2026	-	-	-	-	-
Carlos Santana - Soul Sacrifice.gp	Carlos Santana	Soul Sacrifice	05-22-2025	-	-	-	-	-
Carole King - I Feel The Earth Move.gp	Carole King	I Feel The Earth Move	08-22-2024	-	-	-	-	-
Carole King - It's Too Late.gp	Carole King	It's Too Late	08-22-2024	-	-	-	-	-
Cat Stevens - Father And Son.gp	Cat Stevens	Father And Son	02-13-2026	-	-	-	-	-
Cat Stevens - Moonshadow.gp	Cat Stevens	Moonshadow	03-25-2026	-	-	-	-	-
Cat Stevens - Morning Has Broken.gp	Cat Stevens	Morning Has Broken	12-14-2024	-	-	-	-	-
Cat Stevens - Peace Train.gp	Cat Stevens	Peace Train	05-07-2023	-	-	-	-	-
Cat Stevens - Wild World.gp	Cat Stevens	Wild World	01-02-2024	-	-	-	-	-
Charles Aznavour - Emmenez-moi.gp	Charles Aznavour	Emmenez-moi	03-19-2026	-	-	-	-	-
Charlie Daniels Band - The Devil Went Down To Georgia.gp	Charlie Daniels Band	The Devil Went Down To Georgia	05-12-2026	-	-	-	-	-
Charlélie Couture - Comme Un Avion Sans Ailes.gp	Charlélie Couture	Comme Un Avion Sans Ailes	12-14-2025	-	-	-	-	-
Cheap Trick - I Want You To Want Me.gp	Cheap Trick	I Want You To Want Me	11-28-2023	-	-	-	-	-
Cheap Trick - Surrender.gp	Cheap Trick	Surrender	03-08-2026	-	-	-	-	-
Chicago - 25 Or 6 To 4.gp	Chicago	25 Or 6 To 4	06-21-2025	-	-	-	-	-
Chicago - Hard To Say I'm Sorry.gp	Chicago	Hard To Say I'm Sorry	10-10-2009	-	-	-	-	-
Chicago - Saturday In The Park.gp	Chicago	Saturday In The Park	03-20-2024	-	-	-	-	-
Chicago - Sufjan Stevens.gp	Chicago	Sufjan Stevens	03-21-2026	-	-	-	-	-
Christophe - Aline.gp	Christophe	Aline	09-12-2025	-	-	-	-	-
Christophe - Les mots bleus.gp	Christophe	Les mots bleus	06-12-2025	-	-	-	-	-
Christophe Maé - Il est où le bonheur.gp	Christophe Maé	Il est où le bonheur	12-02-2025	-	-	-	-	-
Christophe Maé - On S'attache.gp	Christophe Maé	On S'attache	09-17-2009	-	-	-	-	-
Chuck Berry - Johnny B. Goode.gp	Chuck Berry	Johnny B. Goode	01-03-2026	1958	Rock	Fender Strat Player II (SSS)	AMP TWD 59B/Drive	be7bfd13-3c80-4996-8dfd-b3d5380711af
Chuck Berry - Roll Over Beethoven.gp	Chuck Berry	Roll Over Beethoven	12-07-2025	1956	Rock	Fender Strat Player II (SSS)	AMP TWD 59B/Drive	b70bbcbc-7543-4d7d-a939-e55bd42fac3c
Cinderella - Don't Know What You Got (Till It's Gone).gp	Cinderella	Don't Know What You Got (Till It's Gone)	02-25-2026	-	-	-	-	-
Cocoon - Chupee.gp	Cocoon	Chupee	10-02-2010	-	-	-	-	-
Coldplay - Clocks.gp	Coldplay	Clocks	02-07-2026	-	-	-	-	-
Coldplay - Fix You.gp	Coldplay	Fix You	04-17-2026	-	-	-	-	-
Coldplay - My Universe.gp	Coldplay	My Universe	01-08-2026	-	-	-	-	-
Coldplay - The Scientist.gp	Coldplay	The Scientist	04-13-2026	-	-	-	-	-
Coldplay - Viva La Vida.gp	Coldplay	Viva La Vida	11-06-2025	2008	Pop	Fender Strat Player II (SSS)	AMP Dark Twin/Clean	7c33103c-1dc2-4226-a17b-ecf0795e95c5
Coldplay - Yellow.gp	Coldplay	Yellow	03-09-2026	-	-	-	-	-
Collective Soul - December.gp	Collective Soul	December	01-10-2026	-	-	-	-	-
Collective Soul - Shine.gp	Collective Soul	Shine	05-03-2026	-	-	-	-	-
Commodores - Brick House 2.0.gp	Commodores	Brick House 2.0	12-22-2025	-	-	-	-	-
Counting Crows - A Long December.gp	Counting Crows	A Long December	10-19-2016	-	-	-	-	-
Counting Crows - Mr. Jones.gp	Counting Crows	Mr. Jones	04-24-2026	-	-	-	-	-
Counting Crows - Omaha V2.gp	Counting Crows	Omaha V2	02-28-2025	-	-	-	-	-
Cranberries - Dreams.gp	Cranberries	Dreams	03-28-2026	-	-	-	-	-
Cream - Badge.gp	Cream	Badge	11-03-2025	-	-	-	-	-
Cream - Crossroads.gp	Cream	Crossroads	04-03-2026	-	-	-	-	-
Cream - I Feel Free.gp	Cream	I Feel Free	03-24-2026	-	-	-	-	-
Cream - Strange Brew.gp	Cream	Strange Brew	07-14-2025	-	-	-	-	-
Cream - Sunshine Of Your Love.gp	Cream	Sunshine Of Your Love	03-16-2026	1967	Rock|Blues	Gibson SG	AMP UK 45/Drive	33b50e8f-32e8-4c32-990e-6f1b8f99ccaf
Cream - Tales Of Brave Ulysses.gp	Cream	Tales Of Brave Ulysses	08-28-2009	-	-	-	-	-
Cream - White Room.gp	Cream	White Room	03-15-2026	-	-	-	-	-
Creed - With Arms Wide Open.gp	Creed	With Arms Wide Open	03-12-2026	-	-	-	-	-
Creedence Clearwater Revival - Bad Moon Rising.gp	Creedence Clearwater Revival	Bad Moon Rising	02-25-2026	-	-	-	-	-
Creedence Clearwater Revival - Born On The Bayou.gp	Creedence Clearwater Revival	Born On The Bayou	01-04-2026	-	-	-	-	-
Creedence Clearwater Revival - Down On The Corner.gp	Creedence Clearwater Revival	Down On The Corner	05-11-2026	-	-	-	-	-
Creedence Clearwater Revival - Fortunate Son.gp	Creedence Clearwater Revival	Fortunate Son	12-28-2025	-	-	-	-	-
Creedence Clearwater Revival - Green River.gp	Creedence Clearwater Revival	Green River	03-21-2026	-	-	-	-	-
Creedence Clearwater Revival - Have You Ever Seen The Rain.gp	Creedence Clearwater Revival	Have You Ever Seen The Rain	03-07-2026	-	-	-	-	-
Creedence Clearwater Revival - Looking out my back door.gp	Creedence Clearwater Revival	Looking out my back door	04-24-2025	-	-	-	-	-
Creedence Clearwater Revival - Proud Mary.gp	Creedence Clearwater Revival	Proud Mary	04-01-2026	-	-	-	-	-
Creedence Clearwater Revival - Run Through The Jungle.gp	Creedence Clearwater Revival	Run Through The Jungle	10-14-2025	-	-	-	-	-
Creedence Clearwater Revival - Suzie Q.gp	Creedence Clearwater Revival	Suzie Q	12-18-2025	-	-	-	-	-
Creedence Clearwater Revival - Up Around The Bend.gp	Creedence Clearwater Revival	Up Around The Bend	03-26-2026	-	-	-	-	-
Creedence Clearwater Revival - Who'll Stop The Rain.gp	Creedence Clearwater Revival	Who'll Stop The Rain	08-26-2025	-	-	-	-	-
Crosby, Stills & Nash - Suite_ Judy Blue Eyes.gp	Crosby, Stills & Nash	Suite_ Judy Blue Eyes	10-25-2024	-	-	-	-	-
Crosby, Stills, Nash & Young - Ohio.gp	Crosby, Stills, Nash & Young	Ohio	03-31-2026	-	-	-	-	-
Crosby, Stills, Nash & Young - Suite_ Judy Blue Eyes.gp	Crosby, Stills, Nash & Young	Suite_ Judy Blue Eyes	08-27-2009	-	-	-	-	-
Curtis Mayfield - Move On Up.gp	Curtis Mayfield	Move On Up	04-27-2025	-	-	-	-	-
Curtis Mayfield - Superfly.gp	Curtis Mayfield	Superfly	01-10-2009	-	-	-	-	-
Cyndi Lauper - Girls Just Want To Have Fun.gp	Cyndi Lauper	Girls Just Want To Have Fun	09-28-2025	-	-	-	-	-
Cyndi Lauper - Time After Time.gp	Cyndi Lauper	Time After Time	02-16-2026	-	-	-	-	-
Cœur de pirate - Comme Des Enfants.gp	Cœur de pirate	Comme Des Enfants	04-12-2010	-	-	-	-	-
Damien Rice - 9 Crimes.gp	Damien Rice	9 Crimes	09-17-2009	-	-	-	-	-
Damien Rice - Blowers Daughter.gp	Damien Rice	Blowers Daughter	10-14-2009	-	-	-	-	-
Daniel Balavoine - L'aziza.gp	Daniel Balavoine	L'aziza	06-14-2023	-	-	-	-	-
Daniel Balavoine - Mon Fils Ma Bataille.gp	Daniel Balavoine	Mon Fils Ma Bataille	03-30-2026	-	-	-	-	-
Dave Matthews Band - Crash Into Me.gp	Dave Matthews Band	Crash Into Me	01-13-2026	-	-	-	-	-
David Bowie - China Girl.gp	David Bowie	China Girl	12-17-2025	-	-	-	-	-
David Bowie - Fame.gp	David Bowie	Fame	10-29-2024	-	-	-	-	-
David Bowie - Heroes.gp	David Bowie	Heroes	04-11-2026	-	-	-	-	-
David Bowie - Let's Dance.gp	David Bowie	Let's Dance	05-01-2026	-	-	-	-	-
David Bowie - Life On Mars_.gp	David Bowie	Life On Mars_	12-16-2025	-	-	-	-	-
David Bowie - Modern Love.gp	David Bowie	Modern Love	10-20-2025	-	-	-	-	-
David Bowie - Moonage Daydream.gp	David Bowie	Moonage Daydream	01-15-2026	-	-	-	-	-
David Bowie - Rebel Rebel.gp	David Bowie	Rebel Rebel	09-27-2023	-	-	-	-	-
David Bowie - Starman.gp	David Bowie	Starman	02-15-2026	-	-	-	-	-
David Bowie - Suffragette City.gp	David Bowie	Suffragette City	11-29-2025	-	-	-	-	-
David Bowie - Under Pressure.gp	David Bowie	Under Pressure	11-04-2024	-	-	-	-	-
David Bowie - Ziggy Stardust.gp	David Bowie	Ziggy Stardust	10-30-2024	-	-	-	-	-
Death Cab For Cutie - I Will Follow You Into The Dark.gp	Death Cab For Cutie	I Will Follow You Into The Dark	02-08-2026	-	-	-	-	-
Death Cab For Cutie - Soul Meets Body.gp	Death Cab For Cutie	Soul Meets Body	04-14-2026	-	-	-	-	-
Death Cab For Cutie - Transatlanticism.gp	Death Cab For Cutie	Transatlanticism	10-19-2016	-	-	-	-	-
Deep Purple - Black Night.gp	Deep Purple	Black Night	04-21-2026	-	-	-	-	-
Deep Purple - Burn.gp	Deep Purple	Burn	03-30-2026	-	-	-	-	-
Deep Purple - Child In Time.gp	Deep Purple	Child In Time	02-13-2026	-	-	-	-	-
Deep Purple - Highway Star.gp	Deep Purple	Highway Star	04-21-2026	-	-	-	-	-
Deep Purple - Hush.gp	Deep Purple	Hush	03-02-2026	-	-	-	-	-
Deep Purple - Lazy.gp	Deep Purple	Lazy	07-27-2025	-	-	-	-	-
Deep Purple - Smoke On The Water.gp	Deep Purple	Smoke On The Water	03-16-2026	-	-	-	-	-
Deep Purple - Space Truckin'.gp	Deep Purple	Space Truckin'	08-28-2022	-	-	-	-	-
Def Leppard - Animal.gp	Def Leppard	Animal	05-04-2026	-	-	-	-	-
Def Leppard - Photograph.gp	Def Leppard	Photograph	03-23-2026	-	-	-	-	-
Def Leppard - Pour Some Sugar On Me.gp	Def Leppard	Pour Some Sugar On Me	01-18-2026	-	-	-	-	-
Def Leppard - Rock Of Ages.gp	Def Leppard	Rock Of Ages	11-05-2024	-	-	-	-	-
Deftones - My Own Summer (Shove It).gp	Deftones	My Own Summer (Shove It)	12-22-2025	-	-	-	-	-
Depeche Mode - Enjoy The Silence.gp	Depeche Mode	Enjoy The Silence	03-17-2026	-	-	-	-	-
Depeche Mode - Personal Jesus.gp	Depeche Mode	Personal Jesus	01-20-2026	-	-	-	-	-
Derek And The Dominos - Layla.gp	Derek And The Dominos	Layla	01-16-2026	-	-	-	-	-
Devo - Whip It.gp	Devo	Whip It	10-01-2025	-	-	-	-	-
Diamond Head - Am I Evil_.gp	Diamond Head	Am I Evil_	04-18-2026	-	-	-	-	-
Dick Dale - Misirlou.gp	Dick Dale	Misirlou	05-06-2026	-	-	-	-	-
Dinosaur Jr. - Feel The Pain.gp	Dinosaur Jr.	Feel The Pain	04-19-2026	-	-	-	-	-
Dinosaur Jr. - Freak Scene.gp	Dinosaur Jr.	Freak Scene	10-29-2025	-	-	-	-	-
Dio - Holy Diver.gp	Dio	Holy Diver	03-16-2026	-	-	-	-	-
Dio - Rainbow In The Dark.gp	Dio	Rainbow In The Dark	04-04-2026	-	-	-	-	-
Dio - The Last In Line.gp	Dio	The Last In Line	04-22-2026	-	-	-	-	-
Dio - We Rock.gp	Dio	We Rock	02-14-2026	-	-	-	-	-
Dire Straits - Brothers In Arms.gp	Dire Straits	Brothers In Arms	01-23-2026	-	-	-	-	-
Dire Straits - Money For Nothing.gp	Dire Straits	Money For Nothing	04-11-2026	-	-	-	-	-
Dire Straits - Romeo And Juliet.gp	Dire Straits	Romeo And Juliet	04-15-2026	-	-	-	-	-
Dire Straits - So Far Away.gp	Dire Straits	So Far Away	02-05-2024	-	-	-	-	-
Dire Straits - Sultans Of Swing.gp	Dire Straits	Sultans Of Swing	03-24-2026	-	-	-	-	-
Dire Straits - Tunnel Of Love.gp	Dire Straits	Tunnel Of Love	10-27-2025	-	-	-	-	-
Dire Straits - Walk Of Life.gp	Dire Straits	Walk Of Life	12-27-2025	-	-	-	-	-
Disturbed - Down With The Sickness.gp	Disturbed	Down With The Sickness	04-06-2026	-	-	-	-	-
Disturbed - Stricken.gp	Disturbed	Stricken	05-01-2026	-	-	-	-	-
Django Reinhardt - Gypsy Jazz.gp	Django Reinhardt	Gypsy Jazz	08-04-2016	-	-	-	-	-
Django Reinhardt - I'll See You In My Dreams.gp	Django Reinhardt	I'll See You In My Dreams	08-19-2025	-	-	-	-	-
Django Reinhardt - Minor Swing.gp	Django Reinhardt	Minor Swing	10-09-2024	-	-	-	-	-
Django Reinhardt - Nuages.gp	Django Reinhardt	Nuages	05-30-2025	-	-	-	-	-
Don Henley - End Of The Innocence.gp	Don Henley	End Of The Innocence	04-28-2025	-	-	-	-	-
Don Henley - The Boys Of Summer.gp	Don Henley	The Boys Of Summer	03-04-2025	-	-	-	-	-
Don McLean - American Pie.gp	Don McLean	American Pie	12-20-2025	1971	Folk|Rock	Acoustique	-	4e6b1bde-c93f-42f8-ac89-8509fbb705dd
Donovan - Mellow Yellow.gp	Donovan	Mellow Yellow	11-25-2025	-	-	-	-	-
Eagle-Eye Cherry - Save Tonight.gp	Eagle-Eye Cherry	Save Tonight	01-03-2026	-	-	-	-	-
Earth Wind And Fire-September - by GuitarLogic.gp	Earth Wind And Fire-September	by GuitarLogic	10-25-2022	-	-	-	-	-
Earth, Wind And Fire - September.gp	Earth, Wind And Fire	September	04-05-2026	-	-	-	-	-
Echo And The Bunnymen - The Killing Moon.gp	Echo And The Bunnymen	The Killing Moon	02-03-2026	-	-	-	-	-
Ed Sheeran - Photograph.gp	Ed Sheeran	Photograph	11-24-2019	-	-	-	-	-
Ed Sheeran - Shape Of You.gp	Ed Sheeran	Shape Of You	12-22-2024	-	-	-	-	-
Ed Sheeran - The A Team.gp	Ed Sheeran	The A Team	09-12-2025	2011	Folk|Pop	Acoustique	-	64456fe8-aa56-44dd-9cb3-47132e8fc915
Ed Sheeran - Thinking Out Loud.gp	Ed Sheeran	Thinking Out Loud	12-19-2024	-	-	-	-	-
Eddie Cochran - Summertime Blues.gp	Eddie Cochran	Summertime Blues	08-23-2023	-	-	-	-	-
Eddy Mitchell - La Dernière Séance.gp	Eddy Mitchell	La Dernière Séance	04-17-2018	-	-	-	-	-
Edgar Winter Group - Frankenstein.gp	Edgar Winter Group	Frankenstein	04-30-2026	-	-	-	-	-
Edgar Winter Group - Free Ride.gp	Edgar Winter Group	Free Ride	02-28-2026	-	-	-	-	-
Editors - Munich.gp	Editors	Munich	05-03-2026	-	-	-	-	-
Elliott Smith - Between The Bars.gp	Elliott Smith	Between The Bars	02-28-2026	-	-	-	-	-
Elmore James - Dust My Broom.gp	Elmore James	Dust My Broom	02-13-2024	-	-	-	-	-
Elton John - Crocodile Rock.gp	Elton John	Crocodile Rock	03-19-2026	-	-	-	-	-
Elvis Costello - Pump It Up.gp	Elvis Costello	Pump It Up	08-26-2024	-	-	-	-	-
Elvis Presley - Heartbreak Hotel.gp	Elvis Presley	Heartbreak Hotel	05-03-2025	-	-	-	-	-
Elvis Presley - Hound Dog.gp	Elvis Presley	Hound Dog	04-15-2026	1956	Rock	Fender Strat Player II (SSS)	AMP US Dream/Clean	1c08c053-f6e8-4625-8288-7992e6f80024
Elvis Presley - Jailhouse Rock.gp	Elvis Presley	Jailhouse Rock	02-25-2026	1957	Rock	Fender Strat Player II (SSS)	AMP US Dream/Clean	993c9841-b059-46f7-993a-8ca316fda6f5
Elvis Presley - Suspicious Minds.gp	Elvis Presley	Suspicious Minds	08-12-2025	-	-	-	-	-
Emerson, Lake & Palmer - Lucky Man.gp	Emerson, Lake & Palmer	Lucky Man	04-01-2026	-	-	-	-	-
Eric Clapton - Bell Bottom Blues.gp	Eric Clapton	Bell Bottom Blues	08-30-2025	-	-	-	-	-
Eric Clapton - Cocaine.gp	Eric Clapton	Cocaine	12-19-2025	-	-	-	-	-
Eric Clapton - I Shot The Sheriff.gp	Eric Clapton	I Shot The Sheriff	01-07-2026	-	-	-	-	-
Eric Clapton - Layla.gp	Eric Clapton	Layla	09-26-2025	1970	Rock	Gibson SG	AMP Tweedy Clean/Drive	115a8ea8-ba48-4d31-8eb5-42988eec575f
Eric Clapton - Tears In Heaven.gp	Eric Clapton	Tears In Heaven	04-09-2026	-	-	-	-	-
Eric Clapton - Wonderful Tonight.gp	Eric Clapton	Wonderful Tonight	02-06-2026	-	-	-	-	-
Eric Johnson - Cliffs Of Dover.gp	Eric Johnson	Cliffs Of Dover	05-06-2026	-	-	-	-	-
Europe - The Final Countdown.gp	Europe	The Final Countdown	04-11-2026	1986	Rock	Gibson SG	AMP unknown/Drive	f3af01cb-d8a0-470f-9380-ba7814ad93f7
Eurythmics - Sweet Dreams (Are Made of This).gp	Eurythmics	Sweet Dreams (Are Made of This)	05-01-2025	-	-	-	-	-
Everclear - Father Of Mine.gp	Everclear	Father Of Mine	03-22-2026	-	-	-	-	-
Everclear - I Will Buy You A New Life.gp	Everclear	I Will Buy You A New Life	08-17-2025	-	-	-	-	-
Everclear - Santa Monica.gp	Everclear	Santa Monica	03-22-2026	-	-	-	-	-
Extreme - More Than Words.gp	Extreme	More Than Words	05-13-2025	-	-	-	-	-
Faith No More - Epic.gp	Faith No More	Epic	01-01-2026	-	-	-	-	-
Fall Out Boy-Sugar, We're Going Down - Band Arrangement.gp	Fall Out Boy-Sugar, We're Going Down	Band Arrangement	03-20-2026	-	-	-	-	-
Fleet Foxes - White Winter Hymnal.gp	Fleet Foxes	White Winter Hymnal	08-11-2020	-	-	-	-	-
Fleetwood Mac - Don't Stop.gp	Fleetwood Mac	Don't Stop	04-28-2026	-	-	-	-	-
Fleetwood Mac - Dreams.gp	Fleetwood Mac	Dreams	04-08-2026	-	-	-	-	-
Fleetwood Mac - Go Your Own Way.gp	Fleetwood Mac	Go Your Own Way	03-30-2026	-	-	-	-	-
Fleetwood Mac - Landslide.gp	Fleetwood Mac	Landslide	04-28-2026	1975	Folk|Rock	Acoustique	-	7fe43b7c-99ae-44a1-9910-40e6334e9296
Fleetwood Mac - Oh Well.gp	Fleetwood Mac	Oh Well	11-14-2024	-	-	-	-	-
Fleetwood Mac - Rhiannon.gp	Fleetwood Mac	Rhiannon	04-28-2026	-	-	-	-	-
Fleetwood Mac - The Chain.gp	Fleetwood Mac	The Chain	03-19-2026	-	-	-	-	-
Fleetwood Mac - The Green Manalishi (With the Two Prong Crown).gp	Fleetwood Mac	The Green Manalishi (With the Two Prong Crown)	02-07-2026	-	-	-	-	-
Fleetwood Mac - Tusk.gp	Fleetwood Mac	Tusk	04-04-2026	-	-	-	-	-
Florence And The Machine - Dog Days Are Over.gp	Florence And The Machine	Dog Days Are Over	09-02-2025	-	-	-	-	-
Foals - Mountain At My Gates.gp	Foals	Mountain At My Gates	06-14-2025	-	-	-	-	-
Foals - My Number.gp	Foals	My Number	01-03-2026	-	-	-	-	-
Foals - Spanish Sahara.gp	Foals	Spanish Sahara	04-12-2010	-	-	-	-	-
Foghat - Fool For The City.gp	Foghat	Fool For The City	05-18-2025	-	-	-	-	-
Foghat - I Just Want To Make Love To You.gp	Foghat	I Just Want To Make Love To You	07-08-2024	-	-	-	-	-
Foghat - Slow Ride.gp	Foghat	Slow Ride	03-23-2026	-	-	-	-	-
Foo Fighters - Best Of You.gp	Foo Fighters	Best Of You	05-07-2026	-	-	-	-	-
Foo Fighters - Everlong.gp	Foo Fighters	Everlong	12-09-2025	-	-	-	-	-
Foo Fighters - Monkey Wrench.gp	Foo Fighters	Monkey Wrench	03-20-2026	-	-	-	-	-
Foo Fighters - My Hero.gp	Foo Fighters	My Hero	04-12-2026	-	-	-	-	-
Foo Fighters - The Pretender.gp	Foo Fighters	The Pretender	03-24-2026	-	-	-	-	-
Foo Fighters - Times Like These.gp	Foo Fighters	Times Like These	04-28-2026	-	-	-	-	-
Foo Fighters - Walk.gp	Foo Fighters	Walk	04-07-2026	-	-	-	-	-
Foreigner - Cold As Ice.gp	Foreigner	Cold As Ice	04-06-2025	-	-	-	-	-
Foreigner - Dirty White Boy.gp	Foreigner	Dirty White Boy	11-27-2025	-	-	-	-	-
Foreigner - Double Vision.gp	Foreigner	Double Vision	04-26-2024	-	-	-	-	-
Foreigner - Hot Blooded.gp	Foreigner	Hot Blooded	12-06-2012	-	-	-	-	-
Foreigner - I Want To Know What Love Is.gp	Foreigner	I Want To Know What Love Is	10-04-2025	-	-	-	-	-
Foreigner - Juke Box Hero.gp	Foreigner	Juke Box Hero	11-04-2025	-	-	-	-	-
Foster The People - Pumped Up Kicks.gp	Foster The People	Pumped Up Kicks	04-26-2026	-	-	-	-	-
France Gall - Poupe De Cire Poupe De Son.gp	France Gall	Poupe De Cire Poupe De Son	12-16-2021	-	-	-	-	-
Francis Cabrel - Encore Et Encore.gp	Francis Cabrel	Encore Et Encore	11-10-2025	-	-	-	-	-
Francis Cabrel - Hors-Saison.gp	Francis Cabrel	Hors-Saison	11-17-2009	-	-	-	-	-
Francis Cabrel - Je L'aime À Mourir.gp	Francis Cabrel	Je L'aime À Mourir	01-13-2025	-	-	-	-	-
Francis Cabrel - L'Encre De Tes Yeux.gp	Francis Cabrel	L'Encre De Tes Yeux	05-29-2023	-	-	-	-	-
